Course,Is It Present
HTMBC150,No
HTMBC220,No Syllabus
HTMBC240,No Syllabus
IDS398R,No Syllabus
IDS499,No
INTST100,No
IT125,No Syllabus
IT150,No Syllabus
LR111,No
MA106,No
MATH100B,No
MATH100G,url for syllabus doesnt work
MATH100L,No
MATH101,No
MATH109,No
MATH110X,No
MATH111,No
MATH215,No
MATH221A,No
MATH221B,No
MATH221C,No
MATH316,No Syllabus
ME142,No
ME172,Yes
ME201,No
ME202,Yes
ME204,No
ME231,No
ME250,No
ME272,Yes
NURS316,No
NURS338,No
NURS340,No
NURS400,No
NURS449,No
NURS450,No
NUTR150,No
NUTR200,No
PC101,No Syllabus
PH105,No
PH121,No
PH223,No
PMBC140,No Syllabus
POLSC110,No
POLSC150,No
POLSC170,No
PSYCH111,No
PSYCH112,No
PSYCH201,No
PSYCH302,No
PSYCH311,No
PSYCH342,No
PSYCH350,No
PSYCH376,No
RELPC121,No
RM304,No
RM307,No
RM370,No
RM371,No
RM373R,No
RM473,No
SMMBC105,No
SMMBC120,No
SMMBC130,No
SMMBC150,No
SMMBC160,No
SOC111,No
SOC311,No
SOC323,No
SOC383,No Syllabus
SPAN101,No
SPAN102,No
SPAN302,No
SPED200,No
SPED310,No
SPED360,No
SW260,No
SW463,No
TA115,No
TA116,No
TA401,No
TA402,No
TESOL101,No
TESOL102,No
TESOL103,No
TESOL104,No
TESOL105,No
WDD100,No
WDD331,No
WDD398,No Syllabus
WDD499,No Syllabus
